Referencia,zona,contrato,ascensor,calle,consumo_energia,dormitorios,precio_venta,ciudad,baños,planta/piso,tipo_inmueble,calefaccion,año_construcción,Comunidad Autonoma,Clase_energia,Pais,Fecha_publicación,Superficie
597818,Isla Chica - Viaplana,venta,,C. Manuel Sánchez,"92,28 kW h/m&sup2; año",3 dorm.,105000,Huelva,1 baño,2,Popular,,1975,Andalucía,e,es,2024-10-21 13:14:06,115.00
598562,Isla Chica - Viaplana,venta,,Av. Alcalde Federico Molina Orta,,3 dorm.,230000,Huelva,3 baños,9,Señorial,,1987,Andalucía,,es,2024-10-19 12:34:57,180.00
594230,Orden - Santa Marta,venta,Sí,C. Río de la Plata,,4 dorm.,129900,Huelva,2 baños,,Popular,,1974,Andalucía,,es,2024-09-11 10:21:12,104.00
573184,Las Colonias El Carmen,venta,,Paseo de la glorieta,,3 dorm.,95000,Huelva,1 baño,,Media,,1967,Andalucía,,es,2024-06-26 19:32:32,77.00
593726,Matadero,venta,,Av. Guatemala,,4 dorm.,179900,Huelva,2 baños,,Popular,,1989,Andalucía,,es,2024-09-06 20:13:46,114.00
597682,,venta,Sí,Carr. Puente de la Sierra,"231,19 kWh/m&sup2; año",3 dorm.,150000,Jaén,,,Popular,,1974,Andalucía,e,es,2024-10-14 10:47:21,86.00
541309,,venta,,C. los Caños,"208,22 kW h/m&sup2; año",3 dorm.,79000,Jaén,1 baño,,Media,,2015,Andalucía,e,es,2024-04-16 12:02:27,91.00
595888,,venta,,Pl. San Juan de Dios,"233,20 kW h/m&sup2; año",2 dorm.,87500,Jaén,1 baño,,Popular,,2007,Andalucía,e,es,2024-10-07 19:19:52,74.00
593108,,venta,,C/ Juanito Valderrama,,4 dorm.,100000,Jaén,,,De época,Independiente (Eléctrica),1980,Andalucía,,es,2024-09-02 20:43:43,174.00
596215,,venta,,Calle Martínez Montañés,"190,5 kW h/m&sup2; año",3 dorm.,179000,Jaén,2 baños,,Señorial,centralizada (Eléctrica),1950,Andalucía,e,es,2024-10-01 19:24:44,108.00
590090,,venta,,C/Ben Saprut,,4 dorm.,190000,Jaén,2 baños,1,Media,,1998,Andalucía,,es,2024-10-02 10:48:33,102.00
531521,,venta,,Calle conserje enrique lopez,"241,61 kWh/m&sup2; año",3 dorm.,69900,Jaén,1 baño,,Popular,,1975,Andalucía,f,es,2023-01-19 13:05:55,60.00
596048,Jaén,venta,,Calle Hurtado,,3 dorm.,95800,Jaén,,Baja,Media,,1979,Andalucía,,es,2024-10-22 12:12:43,93.00
592088,,venta,,Calle Arco del Consuelo,,2 dorm.,75000,Jaén,1 baño,,Media,,1960,Andalucía,,es,2024-09-26 20:33:47,63.00
592962,,venta,Sí,Calle Hurtado,,,124900,Jaén,1 baño,,Popular,,1977,Andalucía,,es,2024-09-05 19:16:10,81.00
